tiempo, mV
0.252,0.0626987431019045
0.254,0.0711932789694701
0.256,0.0774409877939782
0.258,0.0744168575947167
0.26,0.0547328848624517
0.262,0.0667920308607797
0.264,0.0555372067330784
0.266,0.0350727453491233
0.268,0.0394208610574903
0.27,0.0309788696740969
0.272,0.0397839206942698
0.274,0.0312610820290638
0.276,0.0309607347633263
0.278,0.0314316290340332
0.28,0.0529366090222909
0.282,0.0753521843068233
0.284,0.112956385769065
0.286,0.117246368686507
0.288,0.111284991103329
0.29,0.103244294954151
0.292,0.0922443186905487
0.294,0.0810450929245963
0.296,0.0818475749906897
0.298,0.0974760684263528
0.3,0.12
0.302,0.137523931573647
0.304,0.15815242500931
0.306,0.148954907075404
0.308,0.117755681309452
0.31,0.10675570504585
0.312,0.103715008896671
0.314,0.112753631313492
0.316,0.142043614230934
0.318,0.169647815693176
0.32,0.182063390977709
0.322,0.203568370965967
0.324,0.199039265236674
0.326,0.188738917970936
0.328,0.17021607930573
0.33,0.144021130325903
0.332,0.145579138942509
0.334,0.154927254650876
0.336,0.189462793266921
0.338,0.19320796913922
0.34,0.170267115137549
0.342,0.160583142405284
0.344,0.132559012206022
0.346,0.10380672103053
0.348,0.097301256898095
0.35,0.105
0.352,0.104656482450098
0.354,0.113832599194472
0.356,0.11392957770228
0.358,0.117056177819719
0.36,0.104732884862452
0.362,0.109152710635778
0.364,0.109048616824778
0.366,0.117433425124121
0.368,0.127463121709296
0.37,0.140978869674097
0.372,0.122826181346076
0.374,0.108621761804062
0.376,0.0994721448550253
0.378,0.093792308809031
0.38,0.0879366090222906
0.382,0.0879915045318257
0.384,0.094444975677367
0.386,0.0898856889115096
0.388,0.0932427304515232
0.39,0.0782442949541505
0.392,0.0742020580387426
0.394,0.0736844131495984
0.396,0.093336164898991
0.398,0.110115388651355
0.4,0.13
0.402,0.159884611348645
0.404,0.171663835101009
0.406,0.156315586850402
0.408,0.150797941961258
0.41,0.14175570504585
0.412,0.131757269548477
0.414,0.14511431108849
0.416,0.165555024322633
0.418,0.182008495468173
0.42,0.172063390977709
0.422,0.171207691190969
0.424,0.150527855144975
0.426,0.121378238195939
0.428,0.102173818653924
0.43,0.104021130325903
0.432,0.0975368782907031
0.434,0.122566574875879
0.436,0.140951383175222
0.438,0.150847289364222
0.44,0.155267115137549
0.442,0.157943822180282
0.444,0.131070422297721
0.446,0.116167400805528
0.448,0.105343517549901
0.45,0.12
